ID,PRODUCT,TEXT,LABEL
576081,Money transfers,"I used the Wells Fargo SurePay services to transfer money to my friend 's account using his phone number. I received the confirmation email and text message saying it was transferred to his account and received a text message as well. I sent XXXX separate transactions to the same phone number in forms of {$41.00}, {$500.00}, and {$2000.00}. The money was taken from my account to transfer over. I waited a day or two to see if he got the money, and he said it never transferred. I checked his XXXX XXXX XXXX account to see if it ever went through, and there 's no signs of the transfer. I checked his statements, transfer history, and even the preferences to see whether the correct number is linked to that account ; and it was correct. He called his bank to see if they can see if anything went wrong, but they said there was not any transfer that went to the account. So, I submitted XXXX claims to Wells Fargo, and they said everything went correctly on their end and that they could not do anything much more. They offered to send any documents that they used relating to the claim showing how they determined the outcome, but they had no documents to show for. I am submitting to claim to determine where my money went.",11
576661,Money transfers,"I sold an item on Ebay and as a result the item was paid for using PayPal. Unfortunately they keep putting a hold on my funds and I sell these items to pay bills. I was on a probationary hold with Ebay for safety reasons of fraud, but I am the one who is at risk. It is not fair that now they have removed the hold and now PayPal puts one on. I had to pay almost {$75.00} to ship the phone to XXXX and that included insurance and return receipt. This is not right that they do this, when they are the 3rd party and they hold money when the merchandise leaves the seller. The money is the security as the item transfers.",11
577248,Money transfers,"On XXXX XXXX, XXXX, I wired {$8600.00} to a Capital One 360 account. It was posted XXXX XXXX, XXXX but the receiver advised me that Capital One wanted me to request the money be returned to my account. I submitted a letter to my bank and they wired it the same way the money was wired. I have been in contact with my bank and Capital One since then trying to get my money returned. During this time, I have learned that the recipient has a history of wire scams that I was unaware of. The last correspondence was on XXXX/XXXX/XXXX with Capital One. Their representative told me that no one had access to the money and Capital One was still looking into the situation.",11
577739,Money transfers,A Western Union money transfer was blocked to recepient. Dollar amount of XXXX has not been credited to senders account.,11
577845,Money transfers,"XX/XX/XXXX@XXXX. My old Western Union account was compromised. I had n't used this account since XX/XX/XXXX. Someone stole my information and made several money transfers to XXXX, XXXX XXXX. I spoke to XXXX at Western Union and told her I never made these transactions and she told me not to worry about it, it 's just a spoof. I demanded to be transferred to a supervisor. XXXX ( employee number XXXX ) told me my account had indeed been hacked and my information and my son 's information was used. My name, address, social security number, telephone number, my credit card number, my son 's name XXXX XXXX and his old telephone number XXXX XXXX. Per XXXX, XXXX XXXX used a passport to pick up the money and he has a credit card in my name and transferred money. XXXX would n't send me a fraud email because it 's against Western 's Policy. He provided me with a fraud number. I 'm displeased with Western Union for the simple fact they downplayed their hacking issue. XXXX told me only my Western Union account had been hacked and he would suspend the account. Since then, someone has created XXXX accounts and charged services in my name. All my information has been compromised and people are charging items, applying for credit cards, and sending money/transferring money. This is fraud. I did n't authorize the use of my information, my son 's information, or any transactions.",11
577943,Money transfers,"I performed a cash transfer on XX/XX/XXXX from my account at XXXX Bank XXXX to my savings account Capital One. The funds were moved immediately electronically to Capital One, but they put on XXXX week hold on the funds until XX/XX/XXXX. Although Capital One has the funds they will not release them to me. The amount of the transfer is XXXX {$4000.00}. Capital One says it takes longer to transfer the funds to a business saving account and that is the reason for the 7 day hold.",11
578410,Money transfers,Hi I have been having major issues recovering my money back from google Inc . I and my bank on at least 10 calls to Google on 3 way been trying to recover my funds from them. I filed with my bank because google was contingent to take money from my bank even after being told to stop. I filed XX/XX/XXXX and then my bank gave me my money back. Then google asked for a reversal of my money and then claimed to have sent it back. So my bank and visa did an internal investigation and it came out google lied to me and to my bank pnc. We have tried to call and then google claims they sent funds on XX/XX/XXXX then again XX/XX/XXXX and XX/XX/XXXX and in which all was a lie. I also filed with attorney general in California and google claimed to have sent XXXX in which my bank verified this was a lie. Then google not only lied but stole XXXX from my credit card and my bank account. And are refusing to give the money back. I just like any other person needs there money. So I from XX/XX/XXXX till now have contacted them to get no real response. My bank can verify that I have tried everything on my end but google are living about sending my money back. Then they gave me XXXX reference numbers XXXX and XXXX which my bank claims it is not a real number but something made up by Google. The case number is XXXX that XXXX a Google supervisor claims to have sent a refund of 120 days. The problem is that I filed complaints when it happened and my bank even says that wont cover half of what they owe me which is more then XXXX. But then they wo n't issue my money back after stealing it from me in the first place. So I am asking for help to recover my money. They have talked to me and to my bank on recorded line and stated they sent a refund when in fact they did not. So my bank told me to file with you until I file a Lawsuit.,11
578900,Money transfers,"I transfer my Money from City Bank on XX/XX/2017 to my account in XXXX i have my voucher, It says the money will be on XX/XX/2017.however it never arrive to my Account in XXXX. i have to pay bills and i really neddd your Help. 
Please could you inform to the encharged People. 
My Id as a XXXX is XXXX XXXX",11
578986,Money transfers,"I recently set up an account on VENMO and have done a couple of small transactions between $ XXXX {$100.00}. Then two days ago, i had a payment that was being sent to me for {$2800.00}. I accepted the payment and attempted to transfer the funds, but then received an email from VENMO that said the following "" Your Venmo account has been suspended due to recent activity that appears to be a violation of our User Agreement. If you would like to reactivate your account, please reply to this email with a picture of your unexpired US government issued photo identification to begin the review. '' I had no idea what the issue was, but sent a picture of my ID immediately. Then I called them and tried to find out what was going on and spoke to a CSR who informed me that they could not see any details on my account, that it had to be handled by an "" account specialist '' and that they would be back in touch within 3-5 business days! I asked to speak to the account specialist, but they said they do n't have phones, and only correspond via email. I could n't believe it and pushed to speak to a mgr and after being on hold for over 30 minutes, a mgr came on the phone and said that they would expedite my request to the account specialist and would ask that they contact me. I waited all day and then at XXXX last night, received an email stating that they could not resolve the issue because "" I had not sent a copy of my bank statement '' No one had told me or asked for my bank statement in their previous communique and to be honest, I do not feel comfortable sending it. I then went online and did some research and saw hundreds of complaints posted saying that VENMO kept their money and never gave it back and the amounts all ranged around {$2500.00}. They talked about the same issues i was dealing with, with no answers, no way to reach anyone that could assist and no resolution. I now suspect that what they do is "" flag '' any transaction that is in that {$2500.00} range and use any excuse to hold the funds. Imagine if they are doing this to millions of people? 

If they have some kind of rule that is violated ( unbeknownst to the parties involved ), why not stop the transaction, not accept the funds and let the two parties involved know that it wo n't be going through? Instead what they do is TAKE the money, and then hold it in their accounts and not give it back to the person that paid the funds nor do they give it to the person that is owed the money. That seems highly illegal. 

I would appreciate your assistance in helping me get this resolved. Not just for me, but I believe there could be a major scam going on here, with millions of people using VENMO and it needs to be brought to light. 
thank you, XXXX XXXX",11
579093,Money transfers,"I MAKE PAYMENT USE MY PAYPAL ACCOUNT, FOR INVESTIGATION SERVICE, I DONT RECEIVE THE SERVICE I PAY FOR .I CONTACT PAYPAL TO COMPLAINT ABOUT IT, PAYPAL REFUSE TO TAKE MY COMPLAINT .I CALL MAY BANK // ALLY BANK, THE OPEN A CLAIM, THEN THE SAY EVERTHING NEED TO GO TRUE PAYPAL .I COMNTACT PAYPAL ABOUT IT .PAYPAL SAY THE REFUND MY ACCOUNT .NOW I DONT NO WHERE IS MY XXXX DOLLARS GO",11
